item_id,title,date,publisher,fids,fnames
4287591,Hourly United States weather observations 1990-1995,[1997],NOAA/National Climatic Data Center,FID1480,30000056931151.iso
4212702,1990 census of population and housing,[1992],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID993,30000066884440.iso
5035611,Collection of solid waste resources,[2001],"U.S. Environmental Protection Agency, Solid Waste and Emergency Response",FID259,30000076702723.iso
4931364,Estimated per capita water ingestion in the United States,[2000],"United States Environmental Protection Agnency, Office of Water",FID2681,30000078832221.iso
4252479,1990 census of population and housing,[1995-,"U.S. Dept. of Commerce, Economics and Statistics Administration, Bureau of the Census",FID2206|FID2487|FID3767|FID593|FID2630|FID1823|FID523|FID1432,30000044872699.iso|30000036886202.iso|30000036886210.iso|30000036886228.iso|30000036886236.iso|30000044903601.iso|30000036886251.iso|30000044907909.iso
4206578,National energy research seismic library,1992,"U.S. Department of the Interior, U.S. Geological Survey",FID273,30000077392805.iso
4302730,Community vulnerability assessment tool,[1999?],NOAA Coastal Services Center,FID889,30000067351407.iso
4261351,1992 economic census,[1995],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID2421,30000044929333.iso
6458085,International comparisons in education,[2004],"U.S. Dept. of Education, Institute of Education Sciences",FID1686,30000116136569.iso
6109393,"Preparation, submission, and execution of the budget",2002-,"Executive Office of the President, Office of Management and Budget",FID2031|FID2773|FID3370,30000085736266.iso|30000053589259.iso|30000054729730.iso
673425,"DRG, digital raster graphic data, capital cities of the United States",1995],U.S. Geological Survey,FID1936,30000077394173.iso
4232995,"Longitudinal study of aging, 1984-90",[1993],"U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control and Prevention, National Center for Health Statistics",FID722,30000038667568.iso
